Eczane Adı;İletişim No;Enlem;Boylam;Adres
AKKİSE;0 - (332) 483 - 7402;37.2355534;32.1064668;Hamzalar Mahallesi 26648. Sokak No:1D
OĞUZ;0 - (332) 461 - 2277;37.4512504;32.370041;Ağalar Mahallesi Altan Tufan Caddesi No:77A
UĞUR;0 - (332) 816 - 1300;38.349868;31.468461;Doğrugöz Mahallesi 36203. Sokak No: 5A
ÇETİN;0 - (332) 813 - 4044;38.360258;31.417991;İstasyon Mahallesi 30489. Sokak No:4J
ONUR ECZANESİ;0 - (332) 812 - 0386;38.3519858;31.4243912;Kileci Mahallesi Dr.Vahdi Yamalık Caddesi No:2A
ERDEM;0 - (312) 812 - 3828;38.3625455;31.413474;Altunkalem Mahallesi 28616.Sokak No:20A
TAŞKIN;0 - (332) 812 - 4411;38.360258;31.417991;Yeni Mahalle İstasyon Caddesi Bulvar Apartmanı No: 41A
ÇAKILLAR;0 - (332) 826 - 350_;38.360258;31.417991;İstasyon Mahallesi 30489. Sokak No:4G
ECE;0 - (332) 816 - 1767;38.349868;31.468461;Doğrugöz Mahallesi 36203. Sokak No:7A
GÖZDEM;0 - (332) 812 - 8282;38.3668354;31.4370471;İstasyon Mahallesi İstasyon Caddesi No:121C
DEVİREN;0 - (332) 813 - 7136;38.354983;31.4204406;Seyran Mahallesi Hastane Caddesi No:9B
TEKİN;0 - (332) 811 - 0407;38.360258;31.417991;İstasyon Mahallesi 30489.Sokak No:4D
DEVA;0 - (332) 813 - 1276;38.360258;31.417991;Seyran Mah. 33219. Sokak No:3
TUNA;0 - (332) 813 - 5862;38.3577017;31.4129309;Kuşçu Mahallesi İnönü Caddesi No:10C
VERESELİ GARAJ;0 - (332) 813 - 3524;38.3556207;31.442761;Seyran Mahallesi 33219.Sokak No:5
ERGÜN;0 - (332) 812 - 0679;38.3668354;31.4370471;İstasyon Mahallesi İstasyon Caddesi No:117AC
TEPEOĞLU;0 - (332) 813 - 9979;38.36037;31.423691;Yeni Mahalle İstasyon Caddesi No:37A
ŞEKER;0 - (332) 813 - 3870;38.35709;31.41191;Ahicelal Mahallesi Ulucami Caddesi No:17A
TUNCEZ;0 - (332) 812 - 6963;38.360258;31.417991;İstasyon Mahallesi 30489. Sokak No:6B
GÖKMEN;0 - (332) 812 - 8088;38.360258;31.417991;İstasyon Mahallesi 30489. Sokak No:4C
SAĞLIK;0 - (332) 813 - 6251;38.3577582;31.4151285;Kuşçu Mahallesi Nasreddin Caddesi No:6A
KARCI;0 - (332) 813 - 6334;38.3602954;31.4232632;Yeni Mahalle İstasyon Caddesi No:35A
GÜNEŞ;0 - (332) 812 - 4603;38.357576;31.4152504;Kuşçu Mahallesi Nasreddin Caddesi No:10A
HAYAT;0 - (332) 813 - 2026;38.3668354;31.4370471;İstasyon Mahallesi İstasyon Caddesi No:121A
AKKAYA;0 - (332) 813 - 7826;38.3556207;31.442761;Seyran Mahallesi 33219.Sokak No:1
İZZET;0 - (332) 812 - 3322;38.3556207;31.442761;Seyran Mahallesi 33219.Sokak No:3B
KARDELEN;0 - (332) 812 - 6322;38.3556207;31.442761;Seyran Mahallesi 33219.Sokak No:3A
DERMAN;0 - (332) 813 - 2034;38.360258;31.417991;Selçuk Mahallesi 32808.Sokak No:10B
YORGANCIOĞLU;0 - (332) 813 - 3522;38.3576157;31.4155899;Meydan Mahallesi Nasreddin Caddesi No:21A
REİS;0 - (332) 823 - 4476;38.360258;31.417991;Atakent Mahallesi Nadir Caddesi No:28B
BAŞAK;0 - (332) 813 - 2271;38.3584677;31.4191892;Meydan Mahallesi Sanayi Caddesi No:9B
AYDIN;0 - (332) 812 - 2770;38.3519858;31.4243912;Kileci Mahallesi Dr.Vahdi Yamalık Caddesi No:4B
ÖZDEMİR;0 - (332) 812 - 4669;38.360258;31.417991;Yeni Mahalle İstasyon Caddesi Sümer Apt.No:37D
KARACA;0 - (332) 813 - 5393;38.360258;31.417991;Yarenler Mahallesi Mustafa Kemal Paşa Caddesi A Blok 320B
ALTUNTAŞ;0 - (332) 815 - 7576;38.3417438;31.5343272;Altuntaş Mahallesi Şehir Caddesi No:12B
NASREDDİN;0 - (332) 813 - 0472;38.358841;31.4157442;Selçuk Mahallesi Cevdet Köksal Caddesi No:8E
ÖZGÜN;0 - (332) 812 - 9249;38.360258;31.417991;Yarenler Mahallesi Mustafa Kemal Paşa Caddesi A Blok 320C
OSMANLI;0 - (332) 813 - 1383;38.3495234;31.4237604;Gazi Mahallesi Şehit Yaşar Soylu Sokak No:42A
CEYLAN;0 - (332) 812 - 2878;38.3618943;31.4068151;Selçuk Mahallesi 24 Agustos Caddesi No:72B
BAŞOĞLU;0 - (332) 800 - 0075;38.3593614;31.4188771;Yeni Mahalle İnönü Caddesi No:61
NADİR;0 - (332) 825 - 6665;38.246117;31.529514;Çakıllar Mahallesi Çakıllar Caddesi No: 116A
Bayındır;0 - (332) 813 - 8632;38.3600531;31.4232183;Yeni Mahalle 34108.Sokak No:13B
İpek;0 - (332) 813 - 7711;38.3600531;31.4232183;Yeni Mahalle 34108.Sokak No:13A
ECZANE SU;0 - (542) 778 - 3624;38.3585066;31.4160563;Meydan Mahallesi İnönü Caddesi No: 84A
AKŞEHİR;0 - (505) 732 - 7202;38.3785593;31.4056153;Yarenler Mahallesi Mustafa Kemal Paşa Caddesi 320A
SERCAN;0 - (332) 812 - 4450;38.379697;31.430808;Yeni Mahallesi 34108.Sokak No:13C
ŞAHİN;0 - (332) 813 - 6804;38.360258;31.417991;ADSIZ MH. ALİ İHSAN KARAGÜL  CAD.  NO: 13/A
BÜYÜKIŞIK;0 - (332) 812 - 8888;38.3556207;31.442761;Seyran Mahallesi 33143.Sokak No:13A-13B
ÇAĞRI;0 - (332) 813 - 1452;38.3579289;31.416968;Meydan Mahallesi Cevdet Köksal Caddesi No:23A
BAHADIR;0 - (332) 813 - 1566;38.3494402;31.4239549;Gazi Mahallesi Şehit Yaşar Soylu Sokak No: 44B
ATILGAN;0 - (332) 813 - 5274;38.354983;31.4204406;Seyran Mahallesi Hastane Caddesi No:7B
SARILAR;0 - (332) 813 - 4903;38.357408;31.4155002;Nasreddin Mahallesi Nasreddin Caddesi No:22A-22B
Ayşe Adam;0 - (332) 638 - 0277;38.308274;32.868888;Akıncılar Mahallesi Akıncılar Mevlana Caddesi No:8B
DİLEK;0 - (332) 631 - 2575;37.8673958;32.4808038;Ölmez Mahallesi Millet Caddesi No:4B
ELMALI;0 - (332) 631 - 2089;37.868619;32.480809;Ölmez Mahallesi Millet Caddesi No:10A
